,pesticide,food,mrl
1416,fludioxonil,Rice,0.05
1417,fludioxonil,Wheat,0.05
1418,fludioxonil,Barley,0.05
1419,fludioxonil,Oat,0.05
1420,fludioxonil,Rye,0.05
1421,fludioxonil,Triticale,0.05
1422,fludioxonil,Upland crops,0.05
1423,fludioxonil,Coarse cereals,0.5
1424,fludioxonil,Brown rice,0.05
1425,mancozeb,Cereal,-2.0
1426,mancozeb,Wheat,1.0
1427,mancozeb,Barley,1.0
1428,mancozeb,Fresh corn,1.0
1429,methiocarb,Cereal,-2.0
1430,methiocarb,Wheat,0.05
1431,methiocarb,Barley,0.05
1432,methiocarb,Corn,0.05
1433,methiocarb,Pea,0.1
1434,pyrimethanil,Cereal,-2.0
1435,pyrimethanil,Pea,0.5
1436,propineb,Cereal,-2.0
1437,propineb,Rice,2.0
1438,propineb,Corn,0.1
1439,propineb,Fresh corn,1.0
1440,propineb,Brown rice,1.0
1441,chloroisobromine cyanuric acid,Cereal,-2.0
1442,chloroisobromine cyanuric acid,Rice,0.2
1443,chloroisobromine cyanuric acid,Brown rice,0.2
1444,pinoxaden,Cereal,-2.0
1445,pinoxaden,Wheat,0.1
1446,spinetoram,Cereal,-2.0
1447,spinetoram,Rice,0.5
1448,spinetoram,Corn,0.01
1449,spinetoram,Fresh corn,0.01
1450,spinetoram,Brown rice,0.2
1451,glyphosate,Cereal,-2.0
1452,glyphosate,Rice,0.1
1453,glyphosate,Wheat,5.0
1454,glyphosate,Corn,1.0
1455,glyphosate,Fresh corn,1.0
1456,glyphosate,Coarse cereals,2.0
1457,phenamacril,Cereal,-2.0
1458,phenamacril,Wheat,0.05
1459,diclofop-methyl,Cereal,-2.0
1460,diclofop-methyl,Wheat,0.1
1461,sulfuryl fluoride,Cereal,-2.0
1462,sulfuryl fluoride,Rice,0.05
1463,sulfuryl fluoride,Wheat,0.1
1464,sulfuryl fluoride,Upland crops,0.05
1465,sulfuryl fluoride,Wheat flour,0.1
1466,sulfuryl fluoride,Whole wheats flour,0.1
1467,sulfuryl fluoride,Corn grits,0.1
1468,sulfuryl fluoride,Corn flour,0.1
1469,sulfuryl fluoride,Rye flour,0.1
1470,sulfuryl fluoride,Whole rye flour,0.1
1471,sulfuryl fluoride,Rice,0.1
1472,sulfuryl fluoride,Brown rice,0.1
1473,sulfuryl fluoride,Wheat germ,0.1
1474,phosfolan-methyl,Cereal,-2.0
1475,phosfolan-methyl,Rice,0.03
1476,phosfolan-methyl,Wheats,0.03
1477,phosfolan-methyl,Upland crops,0.03
1478,phosfolan-methyl,Coarse cereals,0.03
1479,oxyfluorfen,Cereal,-2.0
1480,oxyfluorfen,Brown rice,0.05
1481,endosulfan,Cereal,-2.0
1482,endosulfan,Rice,0.05
1483,endosulfan,Wheats,0.05
1484,endosulfan,Upland crops,0.05
1485,endosulfan,Coarse cereals,0.05
1486,endosulfan,Processed grains,0.05
1487,quintrione,Cereal,-2.0
1488,quintrione,Rice,0.1
1489,quintrione,Brown rice,0.05
1490,novaluron,Cereal,-2.0
1491,novaluron,Coarse cereals,0.1
1492,flupyradifurone,Cereal,-2.0
1493,flupyradifurone,Corn,0.015
1494,flupyradifurone,Fresh corn,0.05
1495,flupyradifurone,Coarse cereals (with the exception of pea),0.4
1496,flupyradifurone,Whole wheats flour,5.0
1497,flupyradifurone,Wheat germ,5.0
1498,moroxydine hydrochloride,Cereal,-2.0
1499,moroxydine hydrochloride,Rice,5.0
1500,moroxydine hydrochloride,Brown rice,1.0
1501,dicofol,Cereal,-2.0
1502,dicofol,Rice,0.02
1503,dicofol,Wheats,0.02
1504,dicofol,Upland crops,0.02
1505,dicofol,Coarse cereals,0.02
1506,dicofol,Processed grains,0.01
1507,oxydemeton-methyl,Cereal,-2.0
1508,oxydemeton-methyl,Wheat,0.02
1509,oxydemeton-methyl,Barley,0.02
1510,oxydemeton-methyl,Rye,0.02
1511,oxydemeton-methyl,Coarse cereals,0.1
1512,tridiphane,Cereal,-2.0
1513,tridiphane,Rice,0.05
1514,tridiphane,Wheats,0.05
1515,tridiphane,Upland crops,0.05
1516,tridiphane,Coarse cereals,0.05
1517,tridiphane,Processed grains,0.05
1518,fenbuconazole,Cereal,-2.0
1519,fenbuconazole,Wheat,0.1
1520,fenbuconazole,Barley,0.2
1521,fenbuconazole,Rye,0.1
1522,fenbuconazole,Brown rice,0.1
1523,triadimenol,Cereal,-2.0
1524,triadimenol,Rice,0.5
1525,triadimenol,Wheat,0.2
1526,triadimenol,Barley,0.2
1527,triadimenol,Oat,0.2
1528,triadimenol,Rye,0.2
1529,triadimenol,Triticale,0.2
1530,triadimenol,"Upland crops (with the exception of corn, sorghum)",0.2
1531,triadimenol,Corn,0.5
1532,triadimenol,Sorghum,0.1
1533,triadimenol,Brown rice,0.05
1534,metamifop,Cereal,-2.0
1535,metamifop,Rice,0.05
1536,metamifop,Brown rice,0.05
1537,methoxyfenozide,Cereal,-2.0
1538,methoxyfenozide,Rice,0.2
1539,methoxyfenozide,Corn,0.02
1540,methoxyfenozide,Pea,5.0
1541,methoxyfenozide,Brown rice,0.1
1542,methoxyfenozide,Cowpea,5.0
1543,pyrethrins,Cereal,-2.0
1544,pyrethrins,Rice,0.3
1545,pyrethrins,Wheat,0.3
1546,pyrethrins,Corn,0.3
1547,pyrethrins,Sorghum,0.3
1548,pyrethrins,Millet,0.3
1549,pyrethrins,Coarse cereals,0.1
1550,metaflumizone,Cereal,-2.0
1551,metaflumizone,Rice,0.5
1552,metaflumizone,Brown rice,0.1
1553,heptenophos,Cereal,-2.0
1554,heptenophos,Rice,0.01
1555,heptenophos,Wheats,0.01
1556,heptenophos,Upland crops,0.01
1557,heptenophos,Coarse cereals,0.01
1558,heptenophos,Processed grains,0.01
1559,ethion,Cereal,-2.0
1560,ethion,Rice,0.2
1561,anilofos,Cereal,-2.0
1562,anilofos,Rice,0.1
1563,anilofos,Brown rice,0.1
1564,ethylicin,Cereal,-2.0
1565,ethylicin,Rice,0.05
1566,ethylicin,Brown rice,0.05
1567,propiconazole,Cereal,-2.0
1568,propiconazole,Wheat,0.05
1569,propiconazole,Barley,0.2
1570,propiconazole,Oat,0.05
1571,propiconazole,Rye,0.02
1572,propiconazole,Triticale,0.02
1573,propiconazole,Corn,0.05
1574,propiconazole,Brown rice,0.1
1575,flutolanil,Cereal,-2.0
1576,flutolanil,Rice,1.0
1577,flutolanil,Brown rice,2.0
1578,fentin acetate,Cereal,-2.0
1579,fentin acetate,Rice,5.0
1580,fentin acetate,Brown rice,0.05
1581,kasugamycin,Cereal,-2.0
1582,kasugamycin,Brown rice,0.1
1583,phoxim,Cereal,-2.0
1584,phoxim,Rice,0.05
1585,phoxim,Wheats,0.05
1586,phoxim,"Upland crops (with the exception of corn, Fresh corn)",0.05
1587,phoxim,Corn,0.1
1588,phoxim,Fresh corn,0.1
1589,phoxim,Coarse cereals,0.05
1590,chloropropylate,Cereal,-2.0
1591,chloropropylate,Rice,0.02
1592,chloropropylate,Wheats,0.02
1593,chloropropylate,Upland crops,0.02
1594,chloropropylate,Coarse cereals,0.02
1595,chloropropylate,Processed grains,0.02
1596,bromoxynil,Cereal,-2.0
1597,bromoxynil,Rice,0.05
1598,bromoxynil,Wheat,0.05
1599,bromoxynil,Corn,0.1
1600,bromoxynil,Brown rice,0.05
1601,orthosulfamuron,Cereal,-2.0
1602,orthosulfamuron,Rice,0.05
1603,orthosulfamuron,Brown rice,0.05
1604,imazapic,Cereal,-2.0
1605,imazapic,Rice,0.05
1606,imazapic,Wheat,0.05
1607,imazapic,Corn,0.01
1608,sulfoxaflor,Cereal,-2.0
1609,sulfoxaflor,Rice,5.0
1610,sulfoxaflor,Wheat,0.2
1611,sulfoxaflor,Barley,0.6
1612,sulfoxaflor,Triticale,0.2
1613,sulfoxaflor,Coarse cereals,0.3
1614,sulfoxaflor,Brown rice,2.0
1615,chlorthal,Cereal,-2.0
1616,chlorthal,Rice,0.01
1617,chlorthal,Wheats,0.01
1618,chlorthal,Upland crops,0.01
1619,chlorthal,Coarse cereals,0.01
1620,chlorthal,Processed grains,0.01
1621,diazinon,Cereal,-2.0
1622,diazinon,Rice,0.1
1623,diazinon,Wheat,0.1
1624,diazinon,Corn,0.02
1625,quinclorac,Cereal,-2.0
1626,quinclorac,Sorghum,0.1
1627,quinclorac,Brown rice,1.0
1628,trifloxystrobin,Cereal,-2.0
1629,trifloxystrobin,Rice,0.1
1630,trifloxystrobin,Wheat,0.2
1631,trifloxystrobin,Barley,0.5
1632,trifloxystrobin,Corn,0.02
1633,trifloxystrobin,Coarse cereals,0.01
1634,trifloxystrobin,Brown rice,0.1
1635,mesosulfuron-methyl,Cereal,-2.0
1636,mesosulfuron-methyl,Wheat,0.02
1637,fenitrothion,Cereal,-2.0
1638,fenitrothion,Rice,5.0
1639,fenitrothion,Wheats,5.0
1640,fenitrothion,Upland crops,5.0
1641,fenitrothion,Coarse cereals,5.0
1642,fenitrothion,Wheat flour,1.0
1643,fenitrothion,Whole wheats flour,5.0
1644,fenitrothion,Rice,1.0
1645,pirimiphos-methyl,Cereal,-2.0
1646,pirimiphos-methyl,Rice,5.0
1647,pirimiphos-methyl,Wheat,5.0
1648,pirimiphos-methyl,Wheat flour,2.0
1649,pirimiphos-methyl,Whole wheats flour,5.0
1650,pirimiphos-methyl,Rice,1.0
1651,pirimiphos-methyl,Brown rice,2.0
1652,cyromazine,Cereal,-2.0
1653,cyromazine,Coarse cereals,3.0
1654,ethoprophos,Cereal,-2.0
1655,ethoprophos,Wheats,0.05
1656,ethoprophos,Upland crops,0.05
1657,ethoprophos,Coarse cereals,0.05
1658,ethoprophos,Brown rice,0.02
1659,flucythrinate,Cereal,-2.0
1660,flucythrinate,Fresh corn,0.2
1661,flucythrinate,Mung bean,0.05
1662,flucythrinate,Adzuki,0.05
1663,fenpropimorph,Cereal,-2.0
1664,fenpropimorph,Wheat,0.5
1665,fenpropimorph,Barley,0.5
1666,fenpropimorph,Oat,0.5
1667,fenpropimorph,Rye,0.5
1668,fenpropimorph,Triticale,0.07
1669,fenpropimorph,Whole wheats flour,0.1
1670,fenpropimorph,Wheat germ,0.3
1671,fluthiacet-methyl,Cereal,-2.0
1672,fluthiacet-methyl,Corn,0.05
1673,fluthiacet-methyl,Fresh corn,0.05
1674,butachlor,Cereal,-2.0
1675,butachlor,Corn,0.5
1676,butachlor,Rice,0.5
1677,anilazine,Cereal,-2.0
1678,anilazine,Rice,0.2
1679,bifenthrin,Cereal,-2.0
1680,bifenthrin,Wheat,0.5
1681,bifenthrin,Barley,0.05
1682,bifenthrin,Corn,0.05
1683,bifenthrin,Coarse cereals,0.3
1684,bifenthrin,Wheat germ,1.0
1685,teflubenzuron,Cereal,-2.0
1686,teflubenzuron,Corn,0.01
1687,acetochlor,Cereal,-2.0
1688,acetochlor,Corn,0.05
1689,acetochlor,Brown rice,0.05
1690,quizalofop-ethyl and quizalofop-P-ethyl,Cereal,-2.0
1691,quizalofop-ethyl and quizalofop-P-ethyl,Adzuki,0.1
1692,epoxiconazole,Cereal,-2.0
1693,epoxiconazole,Wheat,0.05
1694,epoxiconazole,Corn,0.1
1695,epoxiconazole,Brown rice,0.5
1696,picoxystrobin,Cereal,-2.0
1697,picoxystrobin,Rice,0.2
1698,picoxystrobin,Wheat,0.07
1699,picoxystrobin,Barley,0.3
1700,picoxystrobin,Oat,0.3
1701,picoxystrobin,Rye,0.04
1702,picoxystrobin,Triticale,0.04
1703,picoxystrobin,Corn,0.015
1704,picoxystrobin,Fresh corn,0.01
1705,picoxystrobin,Coarse cereals,0.06
1706,picoxystrobin,Brown rice,0.2
1707,picoxystrobin,Wheat germ,0.15
1708,metolachlor and S-metolachlor,Cereal,-2.0
1709,metolachlor and S-metolachlor,Corn,0.1
1710,metolachlor and S-metolachlor,Sorghum,0.05
1711,metolachlor and S-metolachlor,Brown rice,0.1
1712,captan,Cereal,-2.0
1713,captan,Corn,0.05
1714,captan,Fresh corn,0.05
1715,prochloraz and prochloraz-manganese chloride complex,Cereal,-2.0
1716,prochloraz and prochloraz-manganese chloride complex,Rice,0.5
1717,prochloraz and prochloraz-manganese chloride complex,Wheats (with the exception of wheat),2.0
1718,prochloraz and prochloraz-manganese chloride complex,Wheat,0.5
1719,prochloraz and prochloraz-manganese chloride complex,Sorghum,10.0
1720,naled,Cereal,-2.0
1721,naled,Rice,0.01
1722,naled,Wheats,0.01
1723,naled,Upland crops,0.01
1724,naled,Coarse cereals,0.01
1725,naled,Processed grains,0.01
1726,pymetrozine,Cereal,-2.0
1727,pymetrozine,Rice,1.0
1728,pymetrozine,Wheat,0.02
1729,pymetrozine,Barley,0.1
1730,pymetrozine,Oat,0.1
1731,pymetrozine,Sorghum,0.05
1732,pymetrozine,Brown rice,0.1
1733,tefuryltrione,Cereal,-2.0
1734,tefuryltrione,Rice,0.02
1735,tefuryltrione,Brown rice,0.02
